# target	var1	var2	var3	var4	correct
Pictures\O.Fc4.1123.bmp	Pictures\O.Fc4.1323.bmp	Pictures\O.Fc4.1123.bmp	Pictures\O.Fc4.3133.bmp	Pictures\O.Fc4.3233.bmp	2
Pictures\O.Fc1.2111.bmp	Pictures\O.Fc1.1221.bmp	Pictures\O.Fc1.2121.bmp	Pictures\O.Fc1.1121.bmp	Pictures\O.Fc1.2111.bmp	4
Pictures\O.Fc4.3213.bmp	Pictures\O.Fc4.1123.bmp	Pictures\O.Fc4.3212.bmp	Pictures\O.Fc4.3123.bmp	Pictures\O.Fc4.3213.bmp	4
Pictures\O.Fa1.2123.bmp	Pictures\O.Fa1.2123.bmp	Pictures\O.Fa1.2122.bmp	Pictures\O.Fa1.1233.bmp	Pictures\O.Fa1.1133.bmp	1
Pictures\O.Fa3.2233.bmp	Pictures\O.Fa3.3213.bmp	Pictures\O.Fa3.2231.bmp	Pictures\O.Fa3.1313.bmp	Pictures\O.Fa3.2233.bmp	4
Pictures\O.Fa1.1312.bmp	Pictures\O.Fa1.2312.bmp	Pictures\O.Fa1.2222.bmp	Pictures\O.Fa1.1312.bmp	Pictures\O.Fa1.3112.bmp	3
Pictures\O.Fa2.1132.bmp	Pictures\O.Fa2.1132.bmp	Pictures\O.Fa2.3222.bmp	Pictures\O.Fa2.2332.bmp	Pictures\O.Fa2.3132.bmp	1
Pictures\O.Fb3.3122.bmp	Pictures\O.Fb3.1232.bmp	Pictures\O.Fb3.2222.bmp	Pictures\O.Fb3.3122.bmp	Pictures\O.Fb3.3123.bmp	3
Pictures\O.Fa2.2233.bmp	Pictures\O.Fa2.1133.bmp	Pictures\O.Fa2.2233.bmp	Pictures\O.Fa2.2133.bmp	Pictures\O.Fa2.1323.bmp	2
Pictures\O.Fc2.2233.bmp	Pictures\O.Fc2.3323.bmp	Pictures\O.Fc2.3133.bmp	Pictures\O.Fc2.2232.bmp	Pictures\O.Fc2.2233.bmp	4
Pictures\O.Fc2.2133.bmp	Pictures\O.Fc2.3323.bmp	Pictures\O.Fc2.3333.bmp	Pictures\O.Fc2.2133.bmp	Pictures\O.Fc2.2333.bmp	3
Pictures\O.Fc2.2123.bmp	Pictures\O.Fc2.3333.bmp	Pictures\O.Fc2.2123.bmp	Pictures\O.Fc2.2223.bmp	Pictures\O.Fc2.2313.bmp	2
Pictures\O.Fa2.1213.bmp	Pictures\O.Fa2.1213.bmp	Pictures\O.Fa2.3133.bmp	Pictures\O.Fa2.1313.bmp	Pictures\O.Fa2.2313.bmp	1
